dataset,dataset_version,protocol_id,model,evaluation_mode,channels,participants,primary_metric,primary_percent,secondary_metric,secondary_value,descriptive_interval_low_percent,descriptive_interval_high_percent,always_abstain_participants,chance_level_percent,scoring_seconds,source,license,license_url,attribution,scope,model_rights
TMNRED / ds005383,OpenNeuro snapshot 1.0.0 · ad78f3db430e636595b1b1c08417492f3067a25e,parallel-fixed-subject-folds-v1/ds005383,Spectral ridge,Supervised fit,30,30,Balanced accuracy,51.027777777777786,Macro F1,0.506020854240093,49.55555555555556,52.52777777777777,,50.0,0.8656524890102446,https://doi.org/10.18112/openneuro.ds005383.v1.0.0,OpenNeuro metadata says CC0; accompanying publication/GitHub says CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,"Yanru Bai, Qi Tang et al. · TMNRED, A Chinese Language EEG Dataset for Fuzzy Semantic Target Identification in Natural Reading Environments (2025), doi:10.1038/s41597-025-05036-2. OpenNeuro ds005383 v1.0.0.",Personal noncommercial research; aggregate results only,Trained from scratch / deterministic reference; no third-party pretrained weights. Braindecode BSD-3-Clause; MNE/scikit-learn BSD where used.
TMNRED / ds005383,OpenNeuro snapshot 1.0.0 · ad78f3db430e636595b1b1c08417492f3067a25e,parallel-fixed-subject-folds-v1/ds005383,Temporal ridge,Supervised fit,30,30,Balanced accuracy,56.33333333333332,Macro F1,0.5585273139742724,54.41666666666667,58.36111111111111,,50.0,1.2127933809533715,https://doi.org/10.18112/openneuro.ds005383.v1.0.0,OpenNeuro metadata says CC0; accompanying publication/GitHub says CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,"Yanru Bai, Qi Tang et al. · TMNRED, A Chinese Language EEG Dataset for Fuzzy Semantic Target Identification in Natural Reading Environments (2025), doi:10.1038/s41597-025-05036-2. OpenNeuro ds005383 v1.0.0.",Personal noncommercial research; aggregate results only,Trained from scratch / deterministic reference; no third-party pretrained weights. Braindecode BSD-3-Clause; MNE/scikit-learn BSD where used.
TMNRED / ds005383,OpenNeuro snapshot 1.0.0 · ad78f3db430e636595b1b1c08417492f3067a25e,parallel-fixed-subject-folds-v1/ds005383,LaBraM,Frozen encoder + ridge head,30,30,Balanced accuracy,53.166666666666664,Macro F1,0.5188597352835342,51.27777777777778,54.94444444444445,,50.0,3.368051374098286,https://doi.org/10.18112/openneuro.ds005383.v1.0.0,OpenNeuro metadata says CC0; accompanying publication/GitHub says CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,"Yanru Bai, Qi Tang et al. · TMNRED, A Chinese Language EEG Dataset for Fuzzy Semantic Target Identification in Natural Reading Environments (2025), doi:10.1038/s41597-025-05036-2. OpenNeuro ds005383 v1.0.0.",Personal noncommercial research; aggregate results only,Code/repository: MIT · Checkpoint: committed in that repository; no separate weight terms
TMNRED / ds005383,OpenNeuro snapshot 1.0.0 · ad78f3db430e636595b1b1c08417492f3067a25e,parallel-fixed-subject-folds-v1/ds005383,CBraMod,Frozen encoder + ridge head,30,30,Balanced accuracy,55.80555555555555,Macro F1,0.5536632458905991,54.19444444444444,57.44444444444443,,50.0,23.52429261500947,https://doi.org/10.18112/openneuro.ds005383.v1.0.0,OpenNeuro metadata says CC0; accompanying publication/GitHub says CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,"Yanru Bai, Qi Tang et al. · TMNRED, A Chinese Language EEG Dataset for Fuzzy Semantic Target Identification in Natural Reading Environments (2025), doi:10.1038/s41597-025-05036-2. OpenNeuro ds005383 v1.0.0.",Personal noncommercial research; aggregate results only,Code: MIT · Weights: Apache-2.0 (official model card)
TMNRED / ds005383,OpenNeuro snapshot 1.0.0 · ad78f3db430e636595b1b1c08417492f3067a25e,parallel-fixed-subject-folds-v1/ds005383,EEGNet,Scratch · 20 epochs,30,30,Balanced accuracy,61.44444444444444,Macro F1,0.6058092006566062,58.916666666666664,63.97222222222221,,50.0,83.43758486304432,https://doi.org/10.18112/openneuro.ds005383.v1.0.0,OpenNeuro metadata says CC0; accompanying publication/GitHub says CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,"Yanru Bai, Qi Tang et al. · TMNRED, A Chinese Language EEG Dataset for Fuzzy Semantic Target Identification in Natural Reading Environments (2025), doi:10.1038/s41597-025-05036-2. OpenNeuro ds005383 v1.0.0.",Personal noncommercial research; aggregate results only,Trained from scratch / deterministic reference; no third-party pretrained weights. Braindecode BSD-3-Clause; MNE/scikit-learn BSD where used.
