dataset,dataset_version,protocol_id,model,evaluation_mode,channels,participants,primary_metric,primary_percent,secondary_metric,secondary_value,descriptive_interval_low_percent,descriptive_interval_high_percent,always_abstain_participants,chance_level_percent,scoring_seconds,source,license,license_url,attribution,scope,model_rights
ds005342,OpenNeuro snapshot 1.0.3 · 30bb3b67d76ce007b822fed801e496fafe5598a0,ds005342-sitting-cue-gated-pilot-v1,CSP+LDA,Supervised fit,17,4,Command detection ≤3s,23.333333333333332,Idle false activation,0.0,,,1,,0.1350538763217628,https://doi.org/10.18112/openneuro.ds005342.v1.0.3,CC0-1.0,https://creativecommons.org/publicdomain/zero/1.0/,"OpenNeuro ds005342 contributors · version 1.0.3, doi:10.18112/openneuro.ds005342.v1.0.3; associated study doi:10.3389/fninf.2022.961089. Original author credits are retained at the linked source.",Personal noncommercial research; aggregate results only,Trained from scratch / deterministic reference; no third-party pretrained weights. Braindecode BSD-3-Clause; MNE/scikit-learn BSD where used.
ds005342,OpenNeuro snapshot 1.0.3 · 30bb3b67d76ce007b822fed801e496fafe5598a0,ds005342-sitting-cue-gated-pilot-v1,LaBraM,Frozen encoder + linear head,17,4,Command detection ≤3s,18.333333333333332,Idle false activation,3.3333333333333335,,,0,,2.84153566788882,https://doi.org/10.18112/openneuro.ds005342.v1.0.3,CC0-1.0,https://creativecommons.org/publicdomain/zero/1.0/,"OpenNeuro ds005342 contributors · version 1.0.3, doi:10.18112/openneuro.ds005342.v1.0.3; associated study doi:10.3389/fninf.2022.961089. Original author credits are retained at the linked source.",Personal noncommercial research; aggregate results only,Code/repository: MIT · Checkpoint: committed in that repository; no separate weight terms
ds005342,OpenNeuro snapshot 1.0.3 · 30bb3b67d76ce007b822fed801e496fafe5598a0,ds005342-sitting-cue-gated-pilot-v1,EEGNet,Scratch · 20 epochs,17,4,Command detection ≤3s,1.6666666666666667,Idle false activation,0.0,,,2,,10.115781626664102,https://doi.org/10.18112/openneuro.ds005342.v1.0.3,CC0-1.0,https://creativecommons.org/publicdomain/zero/1.0/,"OpenNeuro ds005342 contributors · version 1.0.3, doi:10.18112/openneuro.ds005342.v1.0.3; associated study doi:10.3389/fninf.2022.961089. Original author credits are retained at the linked source.",Personal noncommercial research; aggregate results only,Trained from scratch / deterministic reference; no third-party pretrained weights. Braindecode BSD-3-Clause; MNE/scikit-learn BSD where used.
ds005342,OpenNeuro snapshot 1.0.3 · 30bb3b67d76ce007b822fed801e496fafe5598a0,ds005342-sitting-cue-gated-pilot-v1,ShallowFBCSPNet,Scratch · 20 epochs,17,4,Command detection ≤3s,43.333333333333336,Idle false activation,1.6666666666666667,,,1,,28.6309855398722,https://doi.org/10.18112/openneuro.ds005342.v1.0.3,CC0-1.0,https://creativecommons.org/publicdomain/zero/1.0/,"OpenNeuro ds005342 contributors · version 1.0.3, doi:10.18112/openneuro.ds005342.v1.0.3; associated study doi:10.3389/fninf.2022.961089. Original author credits are retained at the linked source.",Personal noncommercial research; aggregate results only,Trained from scratch / deterministic reference; no third-party pretrained weights. Braindecode BSD-3-Clause; MNE/scikit-learn BSD where used.
ds005342,OpenNeuro snapshot 1.0.3 · 30bb3b67d76ce007b822fed801e496fafe5598a0,ds005342-sitting-cue-gated-pilot-v1,CBraMod,Frozen encoder + linear head,17,4,Command detection ≤3s,18.333333333333332,Idle false activation,1.6666666666666667,,,1,,2.349851499311626,https://doi.org/10.18112/openneuro.ds005342.v1.0.3,CC0-1.0,https://creativecommons.org/publicdomain/zero/1.0/,"OpenNeuro ds005342 contributors · version 1.0.3, doi:10.18112/openneuro.ds005342.v1.0.3; associated study doi:10.3389/fninf.2022.961089. Original author credits are retained at the linked source.",Personal noncommercial research; aggregate results only,Code: MIT · Weights: Apache-2.0 (official model card)
ds005342,OpenNeuro snapshot 1.0.3 · 30bb3b67d76ce007b822fed801e496fafe5598a0,ds005342-sitting-cue-gated-pilot-v1,Deep4Net,Scratch · 20 epochs,17,4,Command detection ≤3s,3.3333333333333335,Idle false activation,1.6666666666666667,,,1,,13.877315375953913,https://doi.org/10.18112/openneuro.ds005342.v1.0.3,CC0-1.0,https://creativecommons.org/publicdomain/zero/1.0/,"OpenNeuro ds005342 contributors · version 1.0.3, doi:10.18112/openneuro.ds005342.v1.0.3; associated study doi:10.3389/fninf.2022.961089. Original author credits are retained at the linked source.",Personal noncommercial research; aggregate results only,Trained from scratch / deterministic reference; no third-party pretrained weights. Braindecode BSD-3-Clause; MNE/scikit-learn BSD where used.
