dataset,dataset_version,protocol_id,model,evaluation_mode,channels,participants,primary_metric,primary_percent,secondary_metric,secondary_value,descriptive_interval_low_percent,descriptive_interval_high_percent,always_abstain_participants,chance_level_percent,scoring_seconds,source,license,license_url,attribution,scope,model_rights
ds006593,OpenNeuro snapshot 1.0.0 · b3fa345b310abfcf442dd4e2867f6652336c3fe4,parallel-fixed-subject-folds-v1/ds006593,Spectral ridge,Supervised fit,19,21,Balanced accuracy,50.95238095238096,Macro F1,0.5051245210147807,49.56349206349206,52.38095238095239,,50.0,0.3815236510708928,https://doi.org/10.18112/openneuro.ds006593.v1.0.0,CC0-1.0,https://creativecommons.org/publicdomain/zero/1.0/,"OpenNeuro ds006593 contributors · version 1.0.0, doi:10.18112/openneuro.ds006593.v1.0.0; original author credits retained at the linked source.",Personal noncommercial research; aggregate results only,Trained from scratch / deterministic reference; no third-party pretrained weights. Braindecode BSD-3-Clause; MNE/scikit-learn BSD where used.
ds006593,OpenNeuro snapshot 1.0.0 · b3fa345b310abfcf442dd4e2867f6652336c3fe4,parallel-fixed-subject-folds-v1/ds006593,Temporal ridge,Supervised fit,19,21,Balanced accuracy,53.80952380952382,Macro F1,0.5201894836660051,51.94444444444445,55.635912698412696,,50.0,0.4925835959147662,https://doi.org/10.18112/openneuro.ds006593.v1.0.0,CC0-1.0,https://creativecommons.org/publicdomain/zero/1.0/,"OpenNeuro ds006593 contributors · version 1.0.0, doi:10.18112/openneuro.ds006593.v1.0.0; original author credits retained at the linked source.",Personal noncommercial research; aggregate results only,Trained from scratch / deterministic reference; no third-party pretrained weights. Braindecode BSD-3-Clause; MNE/scikit-learn BSD where used.
ds006593,OpenNeuro snapshot 1.0.0 · b3fa345b310abfcf442dd4e2867f6652336c3fe4,parallel-fixed-subject-folds-v1/ds006593,LaBraM,Frozen encoder + ridge head,19,21,Balanced accuracy,49.4047619047619,Macro F1,0.48578804304247825,47.65873015873016,51.19047619047619,,50.0,10.641786107094958,https://doi.org/10.18112/openneuro.ds006593.v1.0.0,CC0-1.0,https://creativecommons.org/publicdomain/zero/1.0/,"OpenNeuro ds006593 contributors · version 1.0.0, doi:10.18112/openneuro.ds006593.v1.0.0; original author credits retained at the linked source.",Personal noncommercial research; aggregate results only,Code/repository: MIT · Checkpoint: committed in that repository; no separate weight terms
ds006593,OpenNeuro snapshot 1.0.0 · b3fa345b310abfcf442dd4e2867f6652336c3fe4,parallel-fixed-subject-folds-v1/ds006593,CBraMod,Frozen encoder + ridge head,19,21,Balanced accuracy,54.960317460317455,Macro F1,0.5290608291102008,53.25396825396827,56.706349206349216,,50.0,4.786083345999941,https://doi.org/10.18112/openneuro.ds006593.v1.0.0,CC0-1.0,https://creativecommons.org/publicdomain/zero/1.0/,"OpenNeuro ds006593 contributors · version 1.0.0, doi:10.18112/openneuro.ds006593.v1.0.0; original author credits retained at the linked source.",Personal noncommercial research; aggregate results only,Code: MIT · Weights: Apache-2.0 (official model card)
ds006593,OpenNeuro snapshot 1.0.0 · b3fa345b310abfcf442dd4e2867f6652336c3fe4,parallel-fixed-subject-folds-v1/ds006593,EEGNet,Scratch · 20 epochs,19,21,Balanced accuracy,53.293650793650805,Macro F1,0.5003107165141089,51.70634920634922,54.92162698412698,,50.0,45.56973439711146,https://doi.org/10.18112/openneuro.ds006593.v1.0.0,CC0-1.0,https://creativecommons.org/publicdomain/zero/1.0/,"OpenNeuro ds006593 contributors · version 1.0.0, doi:10.18112/openneuro.ds006593.v1.0.0; original author credits retained at the linked source.",Personal noncommercial research; aggregate results only,Trained from scratch / deterministic reference; no third-party pretrained weights. Braindecode BSD-3-Clause; MNE/scikit-learn BSD where used.
