dataset,dataset_version,protocol_id,model,evaluation_mode,channels,participants,primary_metric,primary_percent,secondary_metric,secondary_value,descriptive_interval_low_percent,descriptive_interval_high_percent,always_abstain_participants,chance_level_percent,scoring_seconds,source,license,license_url,attribution,scope,model_rights
BETA,"Hugging Face mirror of BETA database, Figshare record 12264401 v3 · {""mirror"": ""d4290c0200db8a104e0f557349dc49f90ba79506"", ""upstream"": ""Figshare version 3, 2022-06-15""}",beta-ssvep-2s-posterior4and8-subject7fold-v1/posterior8,Standard CCA,Known-frequency reference · no fitting,8,70,Balanced accuracy,63.11607142857143,Macro F1,0.6262284336377374,57.24062499999999,68.96428571428572,,2.5,1.754876459017396,https://figshare.com/articles/dataset/The_BETA_database/12264401,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,"Bingchuan Liu et al. · BETA: A Large Benchmark Database Toward SSVEP-BCI Application (2020), doi:10.3389/fnins.2020.00627. Figshare 12264401 v3; mirror Bingchuan/BETA.",Personal noncommercial research; aggregate results only,Trained from scratch / deterministic reference; no third-party pretrained weights. Braindecode BSD-3-Clause; MNE/scikit-learn BSD where used.
BETA,"Hugging Face mirror of BETA database, Figshare record 12264401 v3 · {""mirror"": ""d4290c0200db8a104e0f557349dc49f90ba79506"", ""upstream"": ""Figshare version 3, 2022-06-15""}",beta-ssvep-2s-posterior4and8-subject7fold-v1/posterior8,Spectral ridge,Supervised fit,8,70,Balanced accuracy,50.705357142857146,Macro F1,0.49373413893529433,45.56227678571428,55.758928571428555,,2.5,1.366779665928334,https://figshare.com/articles/dataset/The_BETA_database/12264401,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,"Bingchuan Liu et al. · BETA: A Large Benchmark Database Toward SSVEP-BCI Application (2020), doi:10.3389/fnins.2020.00627. Figshare 12264401 v3; mirror Bingchuan/BETA.",Personal noncommercial research; aggregate results only,Trained from scratch / deterministic reference; no third-party pretrained weights. Braindecode BSD-3-Clause; MNE/scikit-learn BSD where used.
BETA,"Hugging Face mirror of BETA database, Figshare record 12264401 v3 · {""mirror"": ""d4290c0200db8a104e0f557349dc49f90ba79506"", ""upstream"": ""Figshare version 3, 2022-06-15""}",beta-ssvep-2s-posterior4and8-subject7fold-v1/posterior8,LaBraM,Frozen encoder + ridge head,8,70,Balanced accuracy,10.830357142857142,Macro F1,0.09296091863206704,9.526562499999999,12.196651785714284,,2.5,5.000138541217893,https://figshare.com/articles/dataset/The_BETA_database/12264401,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,"Bingchuan Liu et al. · BETA: A Large Benchmark Database Toward SSVEP-BCI Application (2020), doi:10.3389/fnins.2020.00627. Figshare 12264401 v3; mirror Bingchuan/BETA.",Personal noncommercial research; aggregate results only,Code/repository: MIT · Checkpoint: committed in that repository; no separate weight terms
BETA,"Hugging Face mirror of BETA database, Figshare record 12264401 v3 · {""mirror"": ""d4290c0200db8a104e0f557349dc49f90ba79506"", ""upstream"": ""Figshare version 3, 2022-06-15""}",beta-ssvep-2s-posterior4and8-subject7fold-v1/posterior8,CBraMod,Frozen encoder + ridge head,8,70,Balanced accuracy,33.66964285714286,Macro F1,0.31778213986710313,29.83928571428572,37.60714285714286,,2.5,4.85779504198581,https://figshare.com/articles/dataset/The_BETA_database/12264401,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,"Bingchuan Liu et al. · BETA: A Large Benchmark Database Toward SSVEP-BCI Application (2020), doi:10.3389/fnins.2020.00627. Figshare 12264401 v3; mirror Bingchuan/BETA.",Personal noncommercial research; aggregate results only,Code: MIT · Weights: Apache-2.0 (official model card)
BETA,"Hugging Face mirror of BETA database, Figshare record 12264401 v3 · {""mirror"": ""d4290c0200db8a104e0f557349dc49f90ba79506"", ""upstream"": ""Figshare version 3, 2022-06-15""}",beta-ssvep-2s-posterior4and8-subject7fold-v1/posterior8,EEGNet,Scratch · 20 epochs,8,70,Balanced accuracy,55.75892857142857,Macro F1,0.541059342838019,50.14285714285713,61.2955357142857,,2.5,285.79494579229504,https://figshare.com/articles/dataset/The_BETA_database/12264401,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,"Bingchuan Liu et al. · BETA: A Large Benchmark Database Toward SSVEP-BCI Application (2020), doi:10.3389/fnins.2020.00627. Figshare 12264401 v3; mirror Bingchuan/BETA.",Personal noncommercial research; aggregate results only,Trained from scratch / deterministic reference; no third-party pretrained weights. Braindecode BSD-3-Clause; MNE/scikit-learn BSD where used.
