dataset,dataset_version,protocol_id,model,evaluation_mode,channels,participants,primary_metric,primary_percent,secondary_metric,secondary_value,descriptive_interval_low_percent,descriptive_interval_high_percent,always_abstain_participants,chance_level_percent,scoring_seconds,source,license,license_url,attribution,scope,model_rights
BETA,"Hugging Face mirror of BETA database, Figshare record 12264401 v3 · {""mirror"": ""d4290c0200db8a104e0f557349dc49f90ba79506"", ""upstream"": ""Figshare version 3, 2022-06-15""}",beta-ssvep-2s-posterior4and8-subject7fold-v1/posterior4,Standard CCA,Known-frequency reference · no fitting,4,70,Balanced accuracy,57.58035714285715,Macro F1,0.5670723362358747,51.79464285714286,63.4825892857143,,2.5,1.086679874919355,https://figshare.com/articles/dataset/The_BETA_database/12264401,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,"Bingchuan Liu et al. · BETA: A Large Benchmark Database Toward SSVEP-BCI Application (2020), doi:10.3389/fnins.2020.00627. Figshare 12264401 v3; mirror Bingchuan/BETA.",Personal noncommercial research; aggregate results only,Trained from scratch / deterministic reference; no third-party pretrained weights. Braindecode BSD-3-Clause; MNE/scikit-learn BSD where used.
BETA,"Hugging Face mirror of BETA database, Figshare record 12264401 v3 · {""mirror"": ""d4290c0200db8a104e0f557349dc49f90ba79506"", ""upstream"": ""Figshare version 3, 2022-06-15""}",beta-ssvep-2s-posterior4and8-subject7fold-v1/posterior4,Spectral ridge,Supervised fit,4,70,Balanced accuracy,48.214285714285715,Macro F1,0.4671589176778854,43.0625,53.29486607142857,,2.5,0.7049391251057386,https://figshare.com/articles/dataset/The_BETA_database/12264401,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,"Bingchuan Liu et al. · BETA: A Large Benchmark Database Toward SSVEP-BCI Application (2020), doi:10.3389/fnins.2020.00627. Figshare 12264401 v3; mirror Bingchuan/BETA.",Personal noncommercial research; aggregate results only,Trained from scratch / deterministic reference; no third-party pretrained weights. Braindecode BSD-3-Clause; MNE/scikit-learn BSD where used.
BETA,"Hugging Face mirror of BETA database, Figshare record 12264401 v3 · {""mirror"": ""d4290c0200db8a104e0f557349dc49f90ba79506"", ""upstream"": ""Figshare version 3, 2022-06-15""}",beta-ssvep-2s-posterior4and8-subject7fold-v1/posterior4,LaBraM,Frozen encoder + ridge head,4,70,Balanced accuracy,12.883928571428571,Macro F1,0.110318056846,11.23214285714286,14.634151785714286,,2.5,2.451408333145082,https://figshare.com/articles/dataset/The_BETA_database/12264401,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,"Bingchuan Liu et al. · BETA: A Large Benchmark Database Toward SSVEP-BCI Application (2020), doi:10.3389/fnins.2020.00627. Figshare 12264401 v3; mirror Bingchuan/BETA.",Personal noncommercial research; aggregate results only,Code/repository: MIT · Checkpoint: committed in that repository; no separate weight terms
BETA,"Hugging Face mirror of BETA database, Figshare record 12264401 v3 · {""mirror"": ""d4290c0200db8a104e0f557349dc49f90ba79506"", ""upstream"": ""Figshare version 3, 2022-06-15""}",beta-ssvep-2s-posterior4and8-subject7fold-v1/posterior4,CBraMod,Frozen encoder + ridge head,4,70,Balanced accuracy,27.607142857142858,Macro F1,0.2568676299952549,24.080357142857135,31.277008928571426,,2.5,2.954518625047058,https://figshare.com/articles/dataset/The_BETA_database/12264401,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,"Bingchuan Liu et al. · BETA: A Large Benchmark Database Toward SSVEP-BCI Application (2020), doi:10.3389/fnins.2020.00627. Figshare 12264401 v3; mirror Bingchuan/BETA.",Personal noncommercial research; aggregate results only,Code: MIT · Weights: Apache-2.0 (official model card)
BETA,"Hugging Face mirror of BETA database, Figshare record 12264401 v3 · {""mirror"": ""d4290c0200db8a104e0f557349dc49f90ba79506"", ""upstream"": ""Figshare version 3, 2022-06-15""}",beta-ssvep-2s-posterior4and8-subject7fold-v1/posterior4,EEGNet,Scratch · 20 epochs,4,70,Balanced accuracy,44.125,Macro F1,0.42073851241459875,38.642857142857146,49.63392857142857,,2.5,146.67971933400258,https://figshare.com/articles/dataset/The_BETA_database/12264401,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,"Bingchuan Liu et al. · BETA: A Large Benchmark Database Toward SSVEP-BCI Application (2020), doi:10.3389/fnins.2020.00627. Figshare 12264401 v3; mirror Bingchuan/BETA.",Personal noncommercial research; aggregate results only,Trained from scratch / deterministic reference; no third-party pretrained weights. Braindecode BSD-3-Clause; MNE/scikit-learn BSD where used.
