dataset,dataset_version,protocol_id,model,evaluation_mode,channels,participants,primary_metric,primary_percent,secondary_metric,secondary_value,descriptive_interval_low_percent,descriptive_interval_high_percent,always_abstain_participants,chance_level_percent,scoring_seconds,source,license,license_url,attribution,scope,model_rights
EESM19 scalp subset,"Hugging Face processed mirror of OpenNeuro ds005185 1.0.2 · {""mirror"": ""fb045012b58a0b755f9fedf5931dff9b64a9797f"", ""upstream"": ""0857858f7a2ba1582930f23eca3ec56f90a96da9""}",parallel-fixed-subject-folds-v1/eesm19-scalp-sleep,Spectral ridge,Supervised fit,6,20,Balanced accuracy,72.23333333333333,Macro F1,0.7054471302860993,70.7,73.8,,20.0,2.584676503902301,https://doi.org/10.18112/openneuro.ds005185.v1.0.2,CC0-1.0 declared by upstream and mirror,https://creativecommons.org/publicdomain/zero/1.0/,"Kaare B. Mikkelsen et al. · Accurate whole-night sleep monitoring with dry-contact ear-EEG (2019), doi:10.1038/s41598-019-53115-3; OpenNeuro ds005185 v1.0.2. Processed mirror: Zachary1150/EESM19-Processed.",Personal noncommercial research; aggregate results only,Trained from scratch / deterministic reference; no third-party pretrained weights. Braindecode BSD-3-Clause; MNE/scikit-learn BSD where used.
EESM19 scalp subset,"Hugging Face processed mirror of OpenNeuro ds005185 1.0.2 · {""mirror"": ""fb045012b58a0b755f9fedf5931dff9b64a9797f"", ""upstream"": ""0857858f7a2ba1582930f23eca3ec56f90a96da9""}",parallel-fixed-subject-folds-v1/eesm19-scalp-sleep,LaBraM,Frozen encoder + ridge head,6,20,Balanced accuracy,71.1,Macro F1,0.6974569819873635,68.96666666666667,73.23333333333333,,20.0,11.497591717168689,https://doi.org/10.18112/openneuro.ds005185.v1.0.2,CC0-1.0 declared by upstream and mirror,https://creativecommons.org/publicdomain/zero/1.0/,"Kaare B. Mikkelsen et al. · Accurate whole-night sleep monitoring with dry-contact ear-EEG (2019), doi:10.1038/s41598-019-53115-3; OpenNeuro ds005185 v1.0.2. Processed mirror: Zachary1150/EESM19-Processed.",Personal noncommercial research; aggregate results only,Code/repository: MIT · Checkpoint: committed in that repository; no separate weight terms
EESM19 scalp subset,"Hugging Face processed mirror of OpenNeuro ds005185 1.0.2 · {""mirror"": ""fb045012b58a0b755f9fedf5931dff9b64a9797f"", ""upstream"": ""0857858f7a2ba1582930f23eca3ec56f90a96da9""}",parallel-fixed-subject-folds-v1/eesm19-scalp-sleep,CBraMod,Frozen encoder + ridge head,6,20,Balanced accuracy,71.26666666666667,Macro F1,0.7024681739140434,68.7,73.73333333333333,,20.0,10.246094243135303,https://doi.org/10.18112/openneuro.ds005185.v1.0.2,CC0-1.0 declared by upstream and mirror,https://creativecommons.org/publicdomain/zero/1.0/,"Kaare B. Mikkelsen et al. · Accurate whole-night sleep monitoring with dry-contact ear-EEG (2019), doi:10.1038/s41598-019-53115-3; OpenNeuro ds005185 v1.0.2. Processed mirror: Zachary1150/EESM19-Processed.",Personal noncommercial research; aggregate results only,Code: MIT · Weights: Apache-2.0 (official model card)
EESM19 scalp subset,"Hugging Face processed mirror of OpenNeuro ds005185 1.0.2 · {""mirror"": ""fb045012b58a0b755f9fedf5931dff9b64a9797f"", ""upstream"": ""0857858f7a2ba1582930f23eca3ec56f90a96da9""}",parallel-fixed-subject-folds-v1/eesm19-scalp-sleep,EEGNet,Scratch · 10 epochs,6,20,Balanced accuracy,56.53333333333334,Macro F1,0.5452404899763517,54.900000000000006,58.3,,20.0,90.3663412781898,https://doi.org/10.18112/openneuro.ds005185.v1.0.2,CC0-1.0 declared by upstream and mirror,https://creativecommons.org/publicdomain/zero/1.0/,"Kaare B. Mikkelsen et al. · Accurate whole-night sleep monitoring with dry-contact ear-EEG (2019), doi:10.1038/s41598-019-53115-3; OpenNeuro ds005185 v1.0.2. Processed mirror: Zachary1150/EESM19-Processed.",Personal noncommercial research; aggregate results only,Trained from scratch / deterministic reference; no third-party pretrained weights. Braindecode BSD-3-Clause; MNE/scikit-learn BSD where used.
